player_id,primary_archetype,archetype_0_weight,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight,archetype_6_weight,player_name
203914,3,1.3616195017154545e-15,3.459102537747373e-28,1.7837888387870436e-22,0.9999956310557744,4.36334850886753e-06,5.595715910215556e-09,0.0,ID: 203914
203924,4,2.1662898074181592e-07,7.178944753543298e-07,2.1361187737338101e-07,3.406476881508311e-06,0.9999954453877838,3.92663626104041e-16,0.0,ID: 203924
203932,0,0.9980137924377058,3.433754279643845e-20,1.0241548278656772e-06,2.1987543689719873e-15,0.001985183407462434,2.9930016353563427e-16,0.0,ID: 203932
203935,3,0.002785749685887767,9.22951796820054e-12,1.0896682077197469e-09,0.8321081288807585,0.1651061095934552,1.0741000847591248e-08,0.0,ID: 203935
203937,0,0.9999999999499316,1.0047253447532318e-33,5.007002600667996e-11,5.5427864926783326e-129,1.1124250405104793e-21,2.6910614453618284e-17,0.0,ID: 203937
203939,6,9.739154030336807e-12,9.275674251948834e-70,5.373747801444315e-37,1.0865154379176075e-18,5.39769362682579e-22,6.201057932004641e-09,0.9999999937892028,ID: 203939
203944,2,0.003675599063397354,3.6105529364274144e-12,0.9807078355583964,2.8100686449906592e-14,0.015616565374568958,2.4398796696519793e-30,0.0,ID: 203944
203952,4,3.3583039416349626e-05,2.0106948797554755e-09,9.39369136042959e-09,0.0008964671281900142,0.9990699384278586,1.4922451160074335e-13,0.0,ID: 203952
203954,0,0.999999999997204,7.134638997107457e-69,2.794535280871113e-12,3.5673485022362635e-173,3.9732723919204664e-30,2.5846515737985605e-30,0.0,ID: 203954
203991,6,8.998007242368635e-15,5.9631602825e-313,1.0590165102756698e-71,0.0,2.774213846465125e-227,2.14286565085019e-93,0.9999999999999911,ID: 203991
203994,0,0.9982832745398827,5.75133717264041e-83,3.3782658225070414e-22,2.074385982188702e-76,2.3604856342165368e-18,0.0017167254601162332,0.0,ID: 203994
203999,0,0.9999999997830926,2.735586797837627e-43,2.1689155330457788e-10,1.6640394101820381e-57,1.091101116900939e-14,5.987035248337016e-15,0.0,ID: 203999
204001,4,0.029686829790882944,4.039078862262852e-48,3.943560174735709e-11,3.8031914843325764e-05,0.9702751124682283,2.578660889569111e-08,0.0,ID: 204001
204456,2,3.778225047620005e-05,7.272562950246252e-09,0.9999622104767382,1.221724065597138e-66,2.227209956642035e-13,9.15027152980675e-47,0.0,ID: 204456
1626145,4,0.00025164553708053775,0.0001172529978206047,7.121719585762449e-06,4.320508683127357e-06,0.9996196592368298,4.48663122162284e-16,0.0,ID: 1626145
1626157,0,0.9522249019968855,3.8569572524544876e-35,2.5648032106357538e-09,3.2446949222169367e-10,0.04774990154055855,2.5193573283304645e-05,0.0,ID: 1626157
1626162,4,0.00022117333595342672,1.5972883675400522e-13,1.5486247974156875e-10,7.181905347318666e-07,0.9997740899865828,4.0183319055026795e-06,0.0,ID: 1626162
1626164,2,2.7146196998297278e-21,4.557782422814232e-14,0.9999999999999538,1.673567430200165e-49,5.273893603604816e-19,2.4200414353756232e-122,0.0,ID: 1626164
1626167,5,9.46010672058295e-08,1.719128535433983e-76,3.5450251537797817e-28,2.9262454943463804e-15,3.0630478405758657e-07,0.9999995990941444,0.0,ID: 1626167
