player_id,player_name,primary_archetype,archetype_0_weight,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight,archetype_6_weight,archetype_purity
1630596,Evan Mobley,0,0.9655674927878416,3.404097694295621e-30,2.8164297068377448e-08,4.698198296658486e-10,0.0344133052738069,1.9173304234012397e-05,0.0,0.9655674927878416
1630598,Aaron Wiggins,1,7.470597996958778e-10,0.5575097422307351,1.011386630978073e-06,0.0083512343827661,0.4341380112528086,3.105806667829151e-17,0.0,0.5575097422307351
1630611,Gui Santos,3,4.1621716474874725e-11,2.4382243643618782e-14,2.6339494314038535e-14,0.9920945027584032,9.863203149931714e-05,0.0078068651684237,0.0,0.9920945027584032
1630619,Moussa Cisse,6,1.8296098576338411e-16,1.9835127476879398e-307,3.906923787519395e-71,0.0,8.887230217025468e-226,9.796550664693152e-92,1.0,1.0
1630631,Jose Alvarado,1,3.422302445297916e-13,0.9998573258534744,6.959173837214556e-10,0.0001426380626182,3.538764837394324e-08,3.10677302549883e-26,0.0,0.9998573258534744
1630643,Jay Huff,5,2.2899957292394124e-15,5.989964685584655e-72,1.6709449696229283e-27,0.0001152592651492,1.150128479001333e-08,0.9998847292335638,0.0,0.9998847292335638
1630692,Jordan Goodwin,3,2.8924622598037188e-05,2.386212358983235e-10,2.2130490201678778e-13,0.9447450330149976,0.055219142542762,6.899580799724549e-06,0.0,0.9447450330149976
1630696,Dru Smith,3,0.0019879404393771,0.019945662890864,5.463974807085537e-09,0.7644717113702699,0.2135946452832724,3.4552242364642583e-08,0.0,0.7644717113702699
1630700,Dyson Daniels,0,0.9102461712161952,9.699190188972142e-06,1.9511394086201256e-06,5.738599267933436e-06,0.0897364170091591,2.2845780618228233e-08,0.0,0.9102461712161952
1630702,Jaden Hardy,4,2.339613335053856e-10,1.4491851010646742e-06,4.8782310362930535e-08,6.514671069062397e-08,0.9999984366519178,3.5106426995851946e-39,0.0,0.9999984366519178
1630703,Scoot Henderson,1,4.946418528935317e-16,0.9999993109303358,6.872388448296016e-07,4.4028632294272895e-12,1.8264158505694974e-09,6.624594561541844e-39,0.0,0.9999993109303358
1630811,Keaton Wallace,1,8.429050208075059e-18,0.9999999222290435,5.86562448681188e-08,4.369358131214196e-09,1.4745353020272e-08,5.396446082259173e-33,0.0,0.9999999222290435
1631093,Jaden Ivey,3,7.127606364071948e-09,0.0126393038685673,3.679477531575343e-12,0.987198035476516,0.0001626535236295,4.195708603963736e-16,0.0,0.987198035476516
1631094,Paolo Banchero,2,3.807679127486835e-05,1.7006029161241066e-11,0.9995515477026956,2.1885000011505393e-22,0.0004103754890225,9.993808731902925e-30,0.0,0.9995515477026956
1631095,Jabari Smith Jr.,4,7.03495483830441e-06,7.768904025958049e-25,3.9294279948856595e-11,1.341288494398088e-06,0.999991623711189,6.183982350432899e-12,0.0,0.999991623711189
1631096,Chet Holmgren,0,0.6580278506898628,7.224976166398462e-30,5.21014998082456e-08,5.001401115585429e-12,0.341872827993967,9.92692096689213e-05,0.0,0.6580278506898628
1631097,Bennedict Mathurin,2,7.359278311362867e-08,0.000867689894128,0.9532483467623568,1.156149701036742e-24,0.0458838897507322,1.4689365844598443e-34,0.0,0.9532483467623568
1631099,Keegan Murray,4,4.186582232731386e-07,1.35780833262411e-17,6.954484359995573e-05,3.188965031567297e-29,0.9999300364981774,1.4939836442488323e-31,0.0,0.9999300364981774
1631101,Shaedon Sharpe,2,5.068246678789957e-13,4.8529479227666975e-06,0.9999717359711192,1.674336875565798e-22,2.3411080451568635e-05,1.0044633383946417e-81,0.0,0.9999717359711192
1631105,Jalen Duren,0,0.9999272283160652,1.4002242269501864e-257,6.081210862750249e-41,0.0,3.299446609817076e-202,1.095431029378805e-80,7.277168393603493e-05,0.9999272283160652
1631106,Tari Eason,4,0.0007536478127658,8.118953482580025e-13,3.395558616398437e-14,1.3299265609486343e-06,0.9990592885623908,0.0001857336974363,0.0,0.9990592885623908
1631107,Nikola Jović,3,1.1658522151646044e-08,1.2663199178135012e-24,3.7792380643470793e-19,0.9995836898244324,6.23922007326581e-06,0.0004100592969716,0.0,0.9995836898244324
1631108,Max Christie,4,5.898943228449472e-16,0.0001739654250686,5.030605129852465e-06,0.0093563937511503,0.9904646102186516,7.689865086389679e-23,0.0,0.9904646102186516
1631109,Mark Williams,6,9.125570164207305e-16,6.247e-320,6.846431180991981e-71,0.0,8.003679691204252e-225,1.3164272302708968e-91,0.9999999999999992,0.9999999999999992
1631114,Jalen Williams,2,1.6899222196041338e-08,6.747232141137583e-05,0.9999320871442614,4.1682187097708603e-23,4.236351063564558e-07,1.0129746304785637e-52,0.0,0.9999320871442614
1631119,Jaylin Williams,5,4.3685276072522144e-10,1.1868235220616931e-62,7.661162257035963e-26,2.57102957535537e-07,1.0831803706571447e-09,0.9999997413770082,0.0,0.9999997413770082
1631121,Bryce McGowens,4,7.68249173528628e-10,6.120719266697982e-10,8.555487993598581e-09,6.723694870493117e-06,0.9999932661598504,2.0946974669359068e-10,0.0,0.9999932661598504
1631124,Julian Strawther,4,1.427018383110179e-11,5.31063716461248e-05,8.915153677037038e-06,1.9483535554152408e-08,0.9999379589768704,2.1075641760070937e-27,0.0,0.9999379589768704
1631126,Caleb Love,1,6.665449730492854e-11,0.9550208600386076,1.9970683262479263e-05,0.0007706735156904,0.0441884956957834,1.1660126891983792e-30,0.0,0.9550208600386076
1631128,Christian Braun,5,3.209660877973053e-05,3.2443982400734133e-21,8.374532255478959e-18,0.0041378158379753,8.724104754749654e-05,0.995742846505696,0.0,0.995742846505696
1631133,Jabari Walker,5,2.0827726569567708e-09,9.366859208073305e-44,3.9325930829172194e-30,6.110919794978483e-09,1.84523140393497e-08,0.9999999657586264,7.595366264528032e-09,0.9999999657586264
1631157,Ryan Rollins,1,3.392525874562385e-13,0.9999096753300276,9.030082126252078e-05,4.032933347132181e-12,2.38443376483263e-08,2.1590506693888695e-43,0.0,0.9999096753300276
1631159,Leonard Miller,3,3.3339243006114294e-08,1.3467963023776876e-12,2.110840931170515e-16,0.9999232409913682,5.934190117155754e-05,1.7383766869365725e-05,0.0,0.9999232409913682
1631165,Keon Ellis,3,7.139283810910467e-11,9.079644644758572e-15,1.3468817736016793e-21,0.9999992879179228,7.086156433109038e-07,3.3950312974663963e-09,0.0,0.9999992879179228
1631169,Josh Minott,3,3.900181970433565e-13,8.959408033614641e-17,1.1197706902172224e-20,0.9980871109087768,0.0018008792594365,0.0001120098313959,0.0,0.9980871109087768
1631170,Jaime Jaquez Jr.,4,0.3172120679002885,0.0004448893098542,5.849972471911886e-06,8.537251924792197e-05,0.6822518202980881,4.9978376448843485e-14,0.0,0.6822518202980881
1631172,Ousmane Dieng,2,2.6056729517070498e-08,0.3184467705798917,0.679572820545062,3.4395645417647e-09,0.0019803793787519,3.2434542220178227e-41,0.0,0.679572820545062
1631200,Kris Murray,3,1.4258627427395792e-15,7.136417705938472e-28,2.9918120717469296e-27,0.9986075180700384,1.6922666381530207e-08,0.0013924650072924,0.0,0.9986075180700384
1631207,Dalen Terry,3,1.1593898417063032e-09,2.870603583657536e-09,1.2321676993890379e-17,0.9999996598801754,3.347443379730202e-07,1.3454929729028579e-09,0.0,0.9999996598801754
1631212,Peyton Watson,4,0.0009504736135872,0.000934559538901,0.0002253381140239,1.0537253207309429e-11,0.997889628722646,3.052910391849881e-13,0.0,0.997889628722646
1631213,Tyrese Martin,3,2.2741921826954855e-11,0.2845380648820795,7.151420858371471e-10,0.7151085845758498,0.0003533498041851,1.9468756523111496e-15,0.0,0.7151085845758498
1631217,Moussa Diabaté,6,1.073978810387678e-15,3.045282871900425e-298,4.147563737515204e-62,0.0,4.104159500138096e-220,7.369662847853138e-91,0.9999999999999982,0.9999999999999982
1631221,Collin Gillespie,1,3.242607368126901e-14,0.9999925622370848,2.0673071713794914e-07,5.079263810079916e-06,2.1517683546587033e-06,3.159747494785913e-37,0.0,0.9999925622370848
1631222,Jake LaRavia,5,6.536522825301116e-06,1.2431706125689721e-24,2.2485399681394077e-18,0.4794651786728766,0.0001589495818532,0.5203693352224443,0.0,0.5203693352224443
1631230,Dominick Barlow,5,0.0002897127368378,1.0145444266478332e-51,8.268122642347699e-24,5.762929631224817e-53,6.710526277999165e-11,0.9923529777129392,0.0073573094831192,0.9923529777129392
1631243,Mouhamed Gueye,5,4.199319985540641e-10,1.0534098761981329e-52,9.363992457919563e-33,5.29529688799175e-17,6.861955189383142e-13,0.9996189106122044,0.0003810889671764,0.9996189106122044
1631245,Quenton Jackson,1,1.1803922101571762e-10,0.9997835089583909,3.117010592360013e-07,9.38209627718046e-07,0.0002152410128835,6.962123443468444e-17,0.0,0.9997835089583909
1631246,Vince Williams Jr.,1,4.1498200751596054e-08,0.9991474233987538,8.387386028419055e-10,0.0008365035955487,1.603066875853444e-05,5.3084639646764755e-18,0.0,0.9991474233987538
1631248,Baylor Scheierman,3,1.2548588560598582e-11,3.0325982954535733e-16,3.868152919057828e-15,0.9998157714577706,0.000184228529046,6.307928564912743e-13,0.0,0.9998157714577706
1631250,Pete Nance,5,7.477276923261306e-11,2.58939873205302e-61,1.198909144042149e-27,0.0001612067188229,1.806159211822756e-10,0.9998387930257882,0.0,0.9998387930257882
1631255,Karlo Matković,6,1.0859929650434736e-08,6.104578776354975e-65,6.610834806286546e-30,1.0173181522141252e-11,6.057119752662075e-11,0.1210506851328777,0.878949303936449,0.878949303936449
1631260,AJ Green,3,2.9707877267627763e-19,2.1822711328137717e-23,7.213330329452382e-27,0.9999999999475228,1.2300933683785935e-11,4.0177469775451086e-11,0.0,0.9999999999475228
1631321,Sidy Cissoko,3,9.789763378310612e-09,5.638944282501184e-28,9.212623406511524e-24,0.9901275974224644,1.2173407893558036e-07,0.0098722710536933,0.0,0.9901275974224644
1631323,Simone Fontecchio,3,6.830043535247392e-21,1.9400733764612023e-32,3.511342545194744e-31,0.9999999404240718,4.888652649384776e-09,5.468727610046524e-08,0.0,0.9999999404240718
1631342,Daeqwon Plowden,3,1.469592524283596e-12,3.0303168289384964e-26,7.081074581847716e-24,0.9885449447702632,0.0001897931390493,0.0112652620892182,0.0,0.9885449447702632
1641705,Victor Wembanyama,0,0.9949105915188494,7.351322076502262e-28,0.0021255345615848,5.316918416819673e-39,0.0029638739195646,9.326926862820618e-17,0.0,0.9949105915188494
1641706,Brandon Miller,4,6.819030749899443e-08,1.7947329329424746e-08,0.0749260538505869,3.785760261325861e-11,0.925073859973918,5.2768153707992595e-39,0.0,0.925073859973918
