team_id,team_abbreviation,season,play_type,possessions,points,poss_pct,percentile,games_played,points_per_possession,fg_pct,efg_pct
1610612761,TOR,2022-23,PRRollMan,5.7,6.6,0.053,0.414,82,1.158,0.548,0.603
1610612746,LAC,2022-23,PRRollMan,6.0,6.8,0.054,0.621,82,1.133,0.539,0.576
1610612747,LAL,2022-23,PRRollMan,6.1,6.8,0.054,0.897,82,1.115,0.522,0.566
1610612738,BOS,2022-23,PRRollMan,5.9,6.8,0.053,0.483,82,1.153,0.528,0.593
1610612757,POR,2022-23,PRRollMan,6.1,6.8,0.055,0.793,82,1.115,0.548,0.583
1610612752,NYK,2022-23,PRRollMan,6.2,7.0,0.056,0.655,82,1.129,0.507,0.57
1610612756,PHX,2022-23,PRRollMan,5.9,7.1,0.053,0.138,82,1.203,0.567,0.618
1610612740,NOP,2022-23,PRRollMan,6.2,7.1,0.056,0.552,82,1.145,0.549,0.592
1610612744,GSW,2022-23,PRRollMan,6.4,7.3,0.055,0.517,82,1.141,0.54,0.593
1610612764,WAS,2022-23,PRRollMan,7.0,7.5,0.063,0.966,82,1.071,0.499,0.541
1610612750,MIN,2022-23,PRRollMan,6.5,7.7,0.056,0.31,82,1.185,0.563,0.627
1610612743,DEN,2022-23,PRRollMan,6.4,7.7,0.058,0.103,82,1.203,0.569,0.613
1610612763,MEM,2022-23,PRRollMan,6.5,7.8,0.057,0.172,82,1.2,0.568,0.627
1610612758,SAC,2022-23,PRRollMan,7.1,7.9,0.063,0.828,82,1.113,0.536,0.572
1610612739,CLE,2022-23,PRRollMan,6.5,7.9,0.06,0.034,82,1.215,0.562,0.629
1610612766,CHA,2022-23,PRRollMan,7.1,7.9,0.062,0.69,82,1.113,0.521,0.563
1610612737,ATL,2022-23,PRRollMan,6.8,8.3,0.059,0.069,82,1.221,0.575,0.626
1610612759,SAS,2022-23,PRRollMan,7.0,8.3,0.061,0.345,82,1.186,0.563,0.61
1610612741,CHI,2022-23,PRRollMan,7.1,8.5,0.064,0.276,82,1.197,0.586,0.644
1610612749,MIL,2022-23,PRRollMan,8.5,8.9,0.075,1.0,82,1.047,0.491,0.534
1610612749,MIL,2022-23,Spotup,19.5,19.2,0.172,0.966,82,0.985,0.378,0.502
1610612738,BOS,2022-23,Spotup,23.1,23.7,0.208,0.69,82,1.026,0.401,0.526
1610612762,UTA,2022-23,Spotup,23.3,23.9,0.205,0.724,82,1.026,0.389,0.523
1610612756,PHX,2022-23,Spotup,23.0,24.0,0.208,0.345,82,1.043,0.397,0.53
1610612750,MIN,2022-23,Spotup,24.8,24.4,0.217,1.0,82,0.984,0.376,0.504
1610612755,PHI,2022-23,Spotup,25.1,24.9,0.231,0.931,82,0.992,0.382,0.51
1610612747,LAL,2022-23,Spotup,24.6,24.9,0.215,0.828,82,1.012,0.384,0.516
1610612751,BKN,2022-23,Spotup,24.2,25.3,0.217,0.414,82,1.045,0.397,0.535
1610612737,ATL,2022-23,Spotup,25.0,25.3,0.22,0.862,82,1.012,0.393,0.524
1610612739,CLE,2022-23,Spotup,24.3,25.7,0.225,0.207,82,1.058,0.416,0.549
1610612759,SAS,2022-23,Spotup,22.2,25.7,0.195,0.0,82,1.158,0.44,0.596
1610612765,DET,2022-23,Spotup,25.2,26.1,0.225,0.517,82,1.036,0.399,0.525
1610612764,WAS,2022-23,Spotup,24.4,26.2,0.221,0.138,82,1.074,0.411,0.551
1610612746,LAC,2022-23,Spotup,25.2,26.2,0.229,0.483,82,1.04,0.403,0.536
1610612745,HOU,2022-23,Spotup,26.0,26.7,0.234,0.655,82,1.027,0.383,0.527
1610612740,NOP,2022-23,Spotup,26.7,27.1,0.241,0.793,82,1.015,0.392,0.525
1610612766,CHA,2022-23,Spotup,26.7,28.2,0.234,0.241,82,1.056,0.405,0.544
1610612743,DEN,2022-23,Spotup,28.0,28.4,0.255,0.759,82,1.014,0.401,0.528
1610612744,GSW,2022-23,Spotup,27.1,28.5,0.236,0.31,82,1.052,0.401,0.537
1610612752,NYK,2022-23,Spotup,27.5,28.6,0.25,0.448,82,1.04,0.394,0.531
1610612757,POR,2022-23,Spotup,26.4,29.0,0.239,0.034,82,1.098,0.418,0.564
1610612763,MEM,2022-23,Spotup,29.0,29.1,0.254,0.897,82,1.003,0.377,0.512
1610612753,ORL,2022-23,Spotup,28.7,29.6,0.259,0.621,82,1.031,0.399,0.537
1610612742,DAL,2022-23,Spotup,28.2,29.9,0.258,0.172,82,1.06,0.416,0.546
1610612754,IND,2022-23,Spotup,27.9,30.1,0.243,0.103,82,1.079,0.415,0.554
1610612741,CHI,2022-23,Spotup,28.8,30.4,0.261,0.276,82,1.056,0.4,0.54
1610612761,TOR,2022-23,Spotup,29.6,30.9,0.274,0.379,82,1.044,0.411,0.546
1610612758,SAC,2022-23,Spotup,28.7,31.0,0.256,0.069,82,1.08,0.415,0.554
1610612760,OKC,2022-23,Spotup,30.3,31.4,0.263,0.552,82,1.036,0.399,0.535
1610612748,MIA,2022-23,Spotup,30.9,32.0,0.289,0.586,82,1.036,0.404,0.544
1610612761,TOR,2022-23,Handoff,3.6,3.1,0.033,0.931,82,0.861,0.398,0.468
1610612748,MIA,2022-23,Handoff,3.7,3.7,0.035,0.379,82,1.0,0.448,0.546
1610612753,ORL,2022-23,Handoff,5.0,4.1,0.046,1.0,82,0.82,0.376,0.45
1610612751,BKN,2022-23,Handoff,4.7,4.3,0.042,0.759,82,0.915,0.401,0.48
1610612760,OKC,2022-23,Handoff,4.9,4.5,0.042,0.724,82,0.918,0.428,0.508
